COMPANY,ADDRESS,EMAIL ADDRESS,PHONE,CITY,ZIP CODE,COUNTY
Green Dragon,1660 S Congress Avenue,-,-,Boynton Beach,33426,Palm Beach
GrowHealthy,3974 W Linebaugh Avenue,-,-,Tampa,33618,Hillsborough
GrowHealthy,3555 Clark Road,-,-,Sarasota,34231,Sarasota
GrowHealthy,2323 Del Prado Boulevard,-,-,Cape Coral,33990,Lee
GrowHealthy,4465 E Bay Drive,-,-,Largo,33746,Pinellas
GrowHealthy,7817 N Davis Highway,-,-,Pensacola,32514,Escambia
GrowHealthy,1787 W Tennessee Street,-,-,Tallahassee,32304,Leon
GrowHealthy,1981 SE Federal Highway,-,-,Stuart,34994,Martin
GrowHealthy,1444 S Federal Highway,-,-,Deerfield Beach,33441,Broward
GrowHealthy,2370 SW College Road,-,-,Ocala,34474,Marion
GrowHealthy,25987 S Tamiami Trail,-,-,Bonita Springs,34134,Lee
GrowHealthy,13400 Biscayne Boulevard,-,-,North Miami,33181,Miami-Dade
GrowHealthy,4880 Newberry Road,-,-,Gainesville,32607,Alachua
GrowHealthy,3004 US Hwy 98 N,-,-,Lakeland,33805,Polk
GrowHealthy,7858 Turkey Lake Road,-,-,Orlando,32819,Orange
GrowHealthy,2525 W International Speedway Boulevard,-,-,Daytona Beach,32114,Volusia
GrowHealthy,5614 State Road 7,-,-,Lake Worth,33449,Palm Beach
GrowHealthy,1525 E Brandon Boulevard,-,-,Brandon,33411,Hillsborough
GrowHealthy,4237 Okeechobee Boulevard,-,-,West Palm Beach,33409,Palm Beach
GTI (Rise Dispensaries),3295 US Hwy 441,-,-,Fruitland Park,34731,Lake
GTI (Rise Dispensaries),420 W Brandon Boulevard,-,-,Brandon,33511,Hillsborough
GTI (Rise Dispensaries),11561 N Kendall Drive,-,-,Miami,33173,Miami-Dade
GTI (Rise Dispensaries),430 Clematis Street,-,-,West Palm Beach,33446,Palm Beach
GTI (Rise Dispensaries),308 N Federal Highway,-,-,Hallandale Beach,33009,Broward
GTI (Rise Dispensaries),4301 Alafaya Trail,-,-,Oviedo,32765,Seminole
GTI (Rise Dispensaries),26701 S Tamiami Trail,-,-,Bonita Springs,33781,Lee
GTI (Rise Dispensaries),6999 US Hwy 19,-,-,Pinellas Park,33781,Pinellas
GTI (Rise Dispensaries),2305 W Hillsboro Boulevard,-,-,Deerfield Beach,33442,Broward
House of Platinum Cannabis,27062 US Hwy 19 N,-,-,Clearwater,33761,Pinellas
House of Platinum Cannabis,2832 4th Street N,-,-,St. Petersburg,33704,Pinellas
House of Platinum Cannabis,1305 Beville Road,-,-,Daytona Beach,32119,Volusia
House of Platinum Cannabis,10520 Spring Hill Drive,-,-,Spring Hill,34608,Hernando
Insa,10051 Skinner Lake Drive,-,-,Jacksonville,32246,Duval
Insa,11220 SE 179th Place,-,-,Summerfield,34491,Marion
Insa,2650 E Bay Drive,-,-,Largo,33771,Pinellas
Insa,702 U.S. Highway 27 S,-,-,Lake Placid,33852,Highlands
Insa,12426 US Hwy 19,-,-,Hudson,34667,Pasco
Insa,7500 E Colonial Drive,-,-,Orlando,32807,Orange
Insa,640 W Tennessee Street,-,-,Tallahassee,32304,Leon
Insa,28540 US Highway 19 N,-,-,Clearwater,33761,Pinellas
Insa,5115 S Dale Mabry Highway,-,-,Tampa,33611,Hillsborough
Jungle Boys,28751 S Tamiami Trail,-,-,Bonita Springs,34134,-
Jungle Boys,1299 S Military Trail,-,-,Deerfield Beach,33442,Broward
Jungle Boys,6958 Collins Avenue,-,-,Miami Beach,33141,Miami-Dade
Jungle Boys,31650 US Hwy 19,-,-,Palm Harbor,34684,Pinellas
Jungle Boys,3495 NE 163rd Street,-,-,North Miami Beach,33160,Miami-Dade
Jungle Boys,1392 W International Speedway Boulevard,-,-,Daytona Beach,32114,Volusia
Jungle Boys,11401 University Boulevard,-,-,Orlando,32817,Orange
Jungle Boys,2301 N Pine Avenue,-,-,Ocala,34475,Marion
MuV,4369 S Tamiami Trail,-,-,Venice,34293,Sarasota
MuV,1006 S US Hwy 1,-,-,Fort Pierce,34950,St. Lucie
MuV,9711 SW 77th Avenue,-,-,Miami,33156,Miami-Dade
MuV,5230 6th Street,-,-,Zephyrhills,33542,Pasco
MuV,1315 Tuskawilla Road,-,-,Winter Springs,32708,Seminole
MuV,2550 Okeechobee Boulevard,-,-,West Palm Beach,33409,Palm Beach
MuV,11247 E Colonial Drive,-,-,Orlando,32817,Orange
MuV,6883 Navarre Parkway,-,-,Navarre,32566,Santa Rosa
MuV,2938 W US Hwy 90,-,-,Lake City,32055,Columbia
MuV,7915 Panama City Beach Parkway,-,-,Panama City Beach,32407,Bay
MuV,3880 S Nova Road,-,-,Port Orange,32127,Volusia
MuV,2093 U.S. 92,-,-,Auburndale,33823,Polk
MuV,4250 S Washington Avenue,-,-,Titusville,32780,Brevard
MuV,725 Skymarks Drive,-,-,Jacksonville,32218,Duval
MuV,6661 Taft Street,-,-,Hollywood,33024,Broward
MuV,850 S Moody Road,-,-,Palatka,32177,Putnam
MuV,4820 S Himes Avenue,-,-,Tampa,33611,Hillsborough
MuV,22627 Bayshore Road,-,-,Port Charlotte,33980,Charlotte
MuV,7010 Cypress Terrace,-,-,Fort Myers,33907,Lee
MuV,1618 Main Street,-,-,Sarasota,34236,Sarasota
MuV,3900 US Hwy 27,-,-,Sebring,33870,Highlands
MuV,6580 N University Drive,-,-,Tamarac,33319,Broward
MuV,6900 Cypress Gardens Boulevard,-,-,Winter Haven,33881,Polk
MuV,3701 SW College Road,-,-,Ocala,34474,Marion
MuV,11340 Summerlin Square Drive,-,-,Fort Myers,33907,Lee
MuV,10455 SE Federal Highway,-,-,Hobe Sound,33455,Martin
MuV,695 Bald Eagle Drive,-,-,Marco Island,34145,Collier
MuV,17521 Preserve Walk Lane,-,-,Tampa,33647,Hillsborough
MuV,942 W Lumsden Rd,-,-,Brandon,33511,Hillsborough
MuV,265 SW Monterey Road,-,-,Stuart,34994,Martin
MuV,68 Blanding Boulevard,-,-,Orange Park,32073,Clay
MuV,4450 W New Haven Avenue,-,-,West Melbourne,32904,Brevard
MuV,7263 Park Boulevard N,-,-,Pinellas Park,33781,Pinellas
MuV,2494 Enterprise Road,-,-,Orange City,32763,Volusia
MuV,4312 75th Street W,-,-,Bradenton,34209,Manatee
MuV,2617 W Kennedy Boulevard,-,-,Tampa,33609,Hillsborough
MuV,8103 Vineland Parkway,-,-,Orlando,32821,Orange
MuV,18941 Old Shady Hills Road,-,-,Spring Hill,34610,Hernando
MuV,400 S Ponce De Leon Boulevard,-,-,St. Augustine,32084,St. Johns
MuV,929 N Courtenay Parkway,-,-,Merritt Island,32953,Brevard
MuV,5555 Roosevelt Boulevard,-,-,Clearwater,33760,Pinellas
MuV,137 E Woolbright Road,-,-,Boynton Beach,33435,Palm Beach
MuV,519 Duval Street,-,-,Key West,33040,Monroe
MuV,2612 Santa Barbara Boulevard,-,-,Cape Coral,33914,Lee
MuV,1246 Eglin Parkway,-,-,Shalimar,32579,Okaloosa
MuV,120 SW Chamber Court,-,-,Port St. Lucie,34986,St. Lucie
MuV,313 Datura Street,-,-,West Palm Beach,33401,Palm Beach
MuV,1101 1st Avenue N,-,-,St. Petersburg,33705,Pinellas
MuV,8465 Heritage Green Way,-,-,Bradenton,34212,Manatee
MuV,28245 S Tamiami Trail,-,-,Bonita Springs,34134,Lee
MuV,5674 Tuscola Boulevard,-,-,North Port,34286,Sarasota
MuV,929 US Hwy 441,-,-,Lady Lake,32159,Lake
MuV,290 Clyde Morris Boulevard,-,-,Ormond Beach,32174,Volusia
MuV,4785 N 9th Avenue,-,-,Pensacola,32503,Escambia
MuV,1701 US Hwy 1,-,-,Sebastian,32958,Indian River
MuV,21126 State Road 54,-,-,Lutz,33558,Pasco
MuV,2711 N Blairstone Road,-,-,Tallahassee,32301,Leon
MuV,953 S Federal Highway,-,-,Deerfield Beach,33441,Broward
MuV,101 S Garland Avenue,-,-,Orlando,32801,Orange
MuV,224 N Florida Avenue,-,-,Lakeland,33801,Polk
MuV,10993 Colonial Boulevard,-,-,Fort Myers,33913,Lee
MuV,1198 Beach Boulevard,-,-,Jacksonville,32250,Duval
MuV,2020 SW 34th Street,-,-,Gainesville,32608,Alachua
MuV,29901 US Hwy 19 N,-,-,Clearwater,33761,Pinellas
MuV,1550 Hendricks Avenue,-,-,Jacksonville,32207,Duval
MuV,1090 W State Road 434,-,-,Longwood,32750,Seminole
MuV,1045 State Road 7,-,-,Wellington,33414,Palm Beach
MuV,7229 N Dale Mabry Highway,-,-,Tampa,33614,Hillsborough
MuV,5045 Fruitville Road,-,-,Sarasota,34232,Sarasota
MuV,5909 US Hwy 41 N,-,-,Apollo Beach,33572,Hillsborough
Sanctuary Cannabis,710 N Federal Highway,-,-,Boynton Beach,33435,Palm Beach
Sanctuary Cannabis,1260 Beville Road,-,-,Daytona Beach,32114,Volusia
Sanctuary Cannabis,1310 NW 23rd Avenue,-,-,Gainesville,32605,Alachua
Sanctuary Cannabis,8345 SW 124th Street,-,-,Miami,33156,Miami-Dade
Sanctuary Cannabis,1070 Edgewood Avenue S,-,-,Jacksonville,32205,Duval
Sanctuary Cannabis,11450 Beach Boulevard,-,-,Jacksonville,32246,Duval
Sanctuary Cannabis,21401 Powerline Road,-,-,Boca Raton,33433,Palm Beach
Sanctuary Cannabis,5859 W Atlantic Avenue,-,-,Delray Beach,33484,Palm Beach
Sanctuary Cannabis,839 S State Road 19,-,-,Palatka,32177,Putnam
Sanctuary Cannabis,877 E Palmetto Park Road,-,-,Boca Raton,33432,Palm Beach
